5 Star Stoves,5 Star Stoves,,
Acacia Innovations,Acacia Innovations; Acacia Innovations ltd; Acacia Innovations Ltd.; Acacia,Y,
ADES Association pour le Développement de l'/Energie Solaire Suisse - Madagascar,ADES Association pour le Développement de l'/Energie Solaire Suisse - Madagascar,,
African Clean Energy,African Clean Energy; African Clean Energy BV; African Clean Energy BV.;ACE Cambodia; African Clean Energy Pty Ltd,,
African Energy Environment Saving Stoves & Construction Ltd.,African Energy Environment Saving Stoves & Construction Ltd.,,
ALMIGHTY SERVICES PLUS,ALMIGHTY SERVICES PLUS,,
Anega Energies Manufacturing PLC,Anega Energies Manufacturing PLC,,
ANT Stove Producer.,ANT Stove Producer.,,
Applied Sunshine LLC,Applied Sunshine; LLC,,
Appropriate Energy Saving Technologies Ltd.,Appropriate Energy Saving Technologies; Ltd.,,
ASAT Inc.,ASAT Inc.,,
ATEC,ATEC; ATEC Australia International Limited; ATEC Australia-International Pty Ltd; ATEC* Biodigesters International; A-TEC,Y,
Bboxx,BBOXX Ltd.; Bboxx; BBOXX Ltd. (Clean cooking related),Y,
BD Vision,BD Vision,,
Better world Innovations,Better world Innovations,,
Bidhaa Sasa,Bidhaa Sasa; Bidhaa Sasa Kenya,Y,
BioLite,BioLite; BioLite,Y,
BioMassters Limited,BioMassters Ltd.; BioMassters Limited,Y,
BLUE FLAME STOVES AS (LTD),BLUE FLAME STOVES AS (LTD),,
Bold Energy,Bold Energy,,
BrightGreen Renewable Energy,BrightGreen Renewable Energy,,
Buenos Vecinos S.A.,Buenos Vecinos S.A.,,
BUN-CA,BUN-CA,,
BURN Manufacturing,BURN; BURN Manufacturing; Burn Manufacturing Company,Y,
BurroLLC,Burro;LLC,,
Carbon Roots,Carbon Roots; Carbon Roots International,,
Circle Gas Ltd,Circle Gas; Circle Gas Ltd; KopaGas; KopaGas Ltd,Y,
CleanStar Ventures LLC,CleanStar Ventures; LLC,,
Connected Energy Technologies,Connected Energy Technologies,Y,
Consumer'/s Choice Limited,Consumer'/s Choice Limited,,
CookClean Ghana,CookClean Ghana; CookClean Ghana Limited,,
C-Quest Capital LLC,C-Quest Capital LLC,,
D&E,D&E,,
Dazin,Dazin,,
Dharma Life,Dharma Life,,
Dona Dora,Dona Dora,,
Eco Fuel Industries (BD),Eco Fuel Industries (BD); Eco Fuels Industry Limited,,
Eco Group,Eco Group (Uganda); Eco Group Limited; Eco Group; Eco-Fuel Africa Limited,,
Eco2librium Company Limited,Eco2librium Company Limited,,
Ecobora,Ecobora,,
EcoGen Limited,EcoGen Limited,,
Ecosur Afrique,Ecosur Afrique,,
EcoZoom East Africa Ltd,EcoZoom East Africa Ltd,,
Electrocook,Electrocook,,
Emerging Cooking Solutions,Emerging Cooking Solutions Zambia Limited; Emerging Cooking Solutions; Emerging Cooking Solutions Sweden AB,Y,
Envirofit International Inc.,Envirofit International Inc.; Envirofit; Envirofit International; Envirofit Carbon Holdings One,,
Essmart,Essmart; Essmart Global; Inc.,,
Feu vert Benin (Cooking Stove),Feu vert Benin (Cooking Stove),,
Filament Engineering Ltd.,Filament Engineering Ltd.; Filament Engineering Limited,,
FONBOL ENERGY,FONBOL ENERGY,,
Frontier Markets,Frontier Markets,,
Fuego del Sol S.R.L.,Fuego del Sol S.R.L.,,
Future Carbon Limited,Future Carbon Limited,,
Genete Taddesse Fuel Saving Production and Sales Enterprise,Genete Taddesse Fuel Saving Production and Sales Enterprise,,
Ghana Cylinder Manufacturing Company Limited,Ghana Cylinder Manufacturing Company Limited,,
GIVE LTD,GIVE LTD,,
GoSun,GoSun,,
Green 66 Innovations,Green 66 Innovations,Y,
Green Bio Energy Ltd,Green Bio Energy Ltd; Green Bio Energy Limited,,
Green Eco Solutions,Green Eco Solutions; Green Eco Solutions Ltd,,
Green Energy & Biofuels,Green Energy & Biofuels; GEB,,
Green Gold Liberia,Green Gold Liberia,,
Green Ker,Green Ker,,
GREEN LAND FATI GOLD SERVICES NIG. LTD,GREEN LAND FATI GOLD SERVICES NIGERIA LTD.; GREEN LAND FATI GOLD SERVICES NIG. LTD,,
Greenway,Greenway; Greenway Grameen Infra Pvt Ltd,Y,
Haines Solar Cookers,Haines Solar Cookers,,
Hi-Z Technology,Hi-Z Technology,,
Homebiogas,Homebiogas; Homebiogas LTD; Home Biogas,,
ICS LUXUR COOK STOVE,ICS LUXUR COOK STOVE,,
ICSEA,ICSEA; ICSEA Ltd.,,
Impact Carbon,Impact Carbon,,
Improved Cookstove Program in Laos PDR,Improved Cookstove Program in Laos PDR,,
Intellectual Capital Advisory Services,Intellectual Capital Advisory Services,,
INTERGRATED STOVES AGENCY KENYA LIMITED(ISAKENYA LTD),INTERGRATED STOVES AGENCY KENYA LIMITED(ISAKENYA LTD),,
International Lifeline Fund,International Lifeline Fund,Y,
International Research and Development Africa Ltd,International Research and Development Africa Ltd,,
Inyenyeri,Inyenyeri,,
IRDA,IRDA,,
Jaan Pakistan,Jaan Pakistan; Jaan Pak Enterprises Pvt Ltd,,
Jitu renewabe energy ,Jitu renewabe energy ; Jitu renewabe energy ,,
Juntos Energy Solutions NFP,Juntos Energy Solutions NFP,,
Kencoco Limited,Kencoco Limited,,
King Biofuels,King Biofuels; KINGS BIOFUEL LTD (KBLs); Kings Biofuels Ltd,,
Klarisse Kenya Limited dba EzyLife Kenya,Klarisse Kenya Limited dba EzyLife Kenya,,
KOKO Networks,KOKO Networks,Y,
Kopernik,Kopernik,,
Lanzhou Huaneng,Lanzhou Huaneng,,
Lem Betiret RE Production & Distribution Enterprise,Lem Betiret RE Production & Distribution Enterprise,,
Life Engineering  ltd.,Life Engineering  ltd.,,
LivelyHoods,LivelyHoods,,
LPG BOTTLING,LPG BOTTLING,,
Luxur,Luxur; Luxur Green Energy Limited,,
Lynch Farms and General Supplies,Lynch Farms and General Supplies,,
Man and Man Enterprise Limited,Man and Man Enterprise Limited,,
Methano-Green Clean Energy,Methano-Green Clean Energy,,
Micro Energy Credits,Micro Energy Credits,,
Microsol,Microsol,,
Mimi Moto,Mimi Moto; Mimi Moto B.V.,,
M-KOPA Solar,M-KOPA Solar,,
Montals Engineering Enterprise,Montals Engineering Enterprise,,
Mubende Stoves,Mubende Stoves,,
Mwangaza Light,Mwangaza Light,Y,
Nenu,Nenu; Nenu Engineering; Nenu Engineering Limited,,
NewLight Africa,NewLight Africa; Newlight Africa trading as Heya!,,
Nile Bioeconomic Innovations Ltd,Nile Bioeconomic Innovations Ltd,,
NoKooda Solution System Pvt. Ltd.,NoKooda Solution System Pvt. Ltd.,,
Novogaz,Novogaz,,
Oando,Oando,,
Obamastove,Obamastove;  Obamastove SPC,Y,
One Earth Designs,One Earth Designs,,
OSMER SARL,OSMER SARL,,
OTAGO,OTAGO; OTAGO Pte. Ltd.; SGFE; Sustainable Green Fuel Enterprise;  OTAGO Pte. Ltd.,Y,
PALMIS Enèji,PALMIS Enèji; Palmis Eneji,Y,
Paradigm Project,Paradigm Project,,
PayGas,PayGas,Y,
PayGo Energy,PayGo Energy,,
phukaphuka construction,phukaphuka construction,,
Picture Frames International,Picture Frames International,,
Potential Energy,Potential Energy,,
Prakti,Prakti; Prakti Pvt Ltd,,
Prime Cookstoves AS,Prime Cookstoves AS; Prime Stoves,,
Principle Energy,Principle Energy,,
Project Gaia ,Project Gaia ,,
Proyecto Mirador,Proyecto Mirador,,
Pura,Pura; Pura Infrastructural Development Consultants Pvt.,,
Rahimafrooz Renewable Energy Limited (RREL),Rahimafrooz Renewable Energy Limited (RREL); Rahimafrooz Renewable Energy; Ltd.,,
Raising  Gabdho Foundation Ltd,Raising  Gabdho Foundation Ltd; Raising  Gabdho Foundation Ltd,,
Relief International,Relief International,,
Roshan,Roshan,,
RURAL SERVICES FOUNDATION,RURAL SERVICES FOUNDATION,,
Sanivation,Sanivation,,
Santa Clara University,Santa Clara University,,
SCODE Limited,SCODE Limited,,
Self Employed Women'/s Association (SEWA),Self Employed Women'/s Association (SEWA),,
Shubha Biomass Briquette Pvt. Ltd.,Shubha Biomass Briquette Pvt. Ltd.,,
SimGas,SimGas; SimGas Kenya Ltd.; SimGas BV,,
Sistema.bio,Sistema.bio; Sistema Biobolsa,Y,
Small and Medium Entrepreneurship Fundamentals (SME Funds),Small and Medium Entrepreneurship Fundamentals (SME Funds),,
Smart Trading Pvt Ltd ,Smart Trading Pvt Ltd ; Smart Trading Pvt Ltd ,,
Social Development Organization of Bangladesh (SDOB),Social Development Organization of Bangladesh (SDOB),,
SOCO CLEAN COOKING,Solar Cooking Company in Burundi;  SOCO BURUNDI in acronym; SOCO CLEAN COOKING,,
Solar Cookers International,Solar Cookers International,,
Solar Energy Consulting & Construction Company (SECCCO),Solar Energy Consulting & Construction Company (SECCCO),,
Solar Sister Inc.,Solar Sister Inc.,,
Solkamtech,Solkamtech,,
Soluciones Apropriadas S.A.,Soluciones Apropriadas; S.A.,,
SOSAI RENEWABLE ENERGIES COMPANY LIMITED,SOSAI RENEWABLE ENERGIES COMPANY LIMITED,,
SosteNica,SosteNica,,
SP ECO FUEL,SP ECO FUEL,Y,
SSM,Zhejiang Huiwenmei Stove Co.; LTD (SSM); SSM,,
Struggle Against Poverty,Struggle Against Poverty,,
Sun Buckets,Sun Buckets; SunBuckets,,
The Fusion Experience Kenya Limited,The Fusion Experience Kenya Limited,Y,
Tizazu Yerdaw Cook Stove Manufacturer,Tizazu Yerdaw Cook Stove Manufacturer,,
Toyola Energy Limited,Toyola Energy Limited,,
trans care agencies,trans care agencies,,
UGANDA STOVE MANUFACTURERS LIMITED,UGANDA STOVE MANUFACTURERS LIMITED; Uganda Stove Manufacturers Limited (UgaStove),,
UltGas,UltGas,,
Ultimate Gas Professionals Limited,Ultimate Gas Professionals Limited,,
UpEnergy,UpEnergy,,
Venus,Venus; Venus International Company ltd.; Venus International Company Limited,,
VidaGas,VidaGas,,
